date,description
6 March 2022,"US Secretary of State Antony Blinken speaks with Chinese foreign minister Wang Yi, who tells him Beijing opposes any moves that “add fuel to the flames” in Ukraine. David Arakhamia, one of Ukraine’s negotiators, says his country is not willing to compromise on its territorial integrity i n talks but Russia, but is open to discussing “non-NATO models” for its future. The International Committee of the Red Cross (ICRS) says the safe passage of civilians from Ukraine’s besieged eastern port city of Mariupol is “halted” for a second consecutive day. Prime Minister Boris Johnson announces the UK will provide $100 million to Ukraine’s government through the World Bank. President Zelenskyy addresses the people of Ukraine, warning Russian troops he will punish those who commit atrocities in Ukraine: “We will not forgive. We will not forget. We will punish everyone who committed atrocities in this war on our land.”"
7 March 2022,"Ukraine rejects an offer from Russia to create “humanitarian corridors”, allowing civilians to flee six heavily bombed Ukrainian cities, after it emerges most of the supposedly safe routes lead directly to Russia or its ally, Belarus. Ukraine’s Foreign Ministry says Russian shelling is preventing the evacuation of civilians fr om Kyiv, Mariupol, Sumy, Kharkiv, Volnovakha and Mykolayiv. Josep Borrell, the EU’s top diplomat, estimates as many as five million Ukrainians will flee the country if Russia’s bombing campaign continues. The UN’s refugee agency notes more than 1.7 million Ukrainians have already crossed into central Europe. The third round of Russian-Ukrainian talks end with the delegations reporting some positive signs but no breakthrough. Mykhailo Polodnyak, an adviser to President Zelenskyy, says there has been some “small positive developments in improving the logistics of humanitarian corridors”. The US Ambassador to the Organisation for Security and Cooperation in Europe (OSCE), Michael Carpenter, accuses Belarus of “stabbing [its] neighbour in the back”, and describes Belarus as being a “co-aggressor” in Russia’s military action in Ukraine. The UK Ambassador to the OSCE, Neil Bush, calls out the Russian government for lying about their plan to invade Ukraine and expresses UK solidarity with the Ukrainian people. Ukraine’s Infrastructure Minister, Oleksander Kubrakov, says Ukraine has suffered about $10 billion in damage to infrastructure si nce Russia launched military action against the country. At a joint press conference in the UK, Prime Minister Boris Johnson makes a statement alongside Dutch Prime Minister Mark Rutte and Canadian Prime Minister Justin Trudeau. They pledge additional aid for Ukraine and announce a new ‘International Ukraine Support Group’ to coordinate the efforts of the international community in providing long term, unwavering assistance. In a US Department of Defence briefing, an official says Russia has now committed almost 100% of the forces it had amassed for the attack on Ukraine: an estimated 127 battalion tactical groups. The official also explains the US has assessed that Russia has launched over 625 missiles, mostly short and medium range surface to air missiles and cruise missiles. In a meeting of the UN Security Council, UK Ambassador Barbara Woodward praises Ukraine’s resistance and accuses President Putin of “directing a campaign of violence and cruelty against civilians”."
8 March 2022,"In a Facebook post, the chief of staff of Ukraine’s armed forces says they are fighting back against the invasion all over the country. Russia reportedly opens humanitarian corridors from Kyiv, Cherhihiv, Sumy, Kharkiv and Mariupol so that civilians can be evacuated. The number of refugees fleeing Ukraine reaches two million, according to the UN High Commissioner for Refugees, Filippo Grandi. Ukraine’s ministry of foreign affairs reports 1 2,000 Russian personnel have been killed in its latest assessment of their losses to date. Chinese President Xi Jinping calls for peace and “maximum restraint to prevent a massive humanitarian crisis” in Ukraine, but stops short of criticising Russia or its president directly. In an unprecedented address broadcast live to the House of Commons, President Zelenskyy echoes Winston Churchill as he asks the UK to do more to help Ukraine."
9 March 2022,"The US Department of Defence dismisses a plan by Poland to give the US its MiG -29 fighter jets to boost Ukraine’s fight against Russia. Russia accuses the US of declaring an economic war on the country and warned it is working on a broad response to Western sanctions. The UK announces a series of new aviation sanctions, giving the government power to detain any Russian aircraft in the UK. President Zelenskyy says the international community will be responsible for a mass “ humanitarian catastrophe” if it does not agree a no-fly zone to protect Ukraine. Ukrainian authorities say Russian bombs have “completely destroyed ” a children’s and maternity hospital in Mariupol, as shelling again halts mass evacuations from several cities. In Washington, UK Foreign Secretary Liz Truss meets US Secretary of State Antony Blinken and US National Security Advisor Jake Sullivan to discuss what more the UK and US can do to support Ukraine on security, intelligence, and humanitarian issues."
10 March 2022,"Russia’s foreign ministry is quoted as saying Russia will no longer participate in the Council of Europe. Sergey Lavrov and Dmytro Kuleba, the foreign ministers of Russia and Ukraine respectively, meet in Turkey. The meeting is notable in that the Ukrainian side indicate they are prepared for an alternative to NATO membership, provided the country is given security and economic guarantees underwritten by the West and Russia. The UK announces sanctions against seven Russian businessmen, in cluding Roman Abramovich and Oleg Deripaska. In response to an Urgent Question in the House of Commons, the Home Secretary pledges to streamline the online visa application system for Ukrainian refugees. The US Congress passes a spending bill late in the evening. This includes $13.6bn in emergency aid for Ukraine f or humanitarian, defence and economic assistance, and for sanctions enforcement."
11 March 2022,"The Versailles Summit (in which the Heads of Government of the EU, the President of the European Council and the President of the European Commission address the war in Ukraine and the consequences for the EU in terms of sovereignty) meets for a second day. In a statement published at the end of the summit, the leaders pledge to support Ukraine in pursuing EU membership: On 28 February 2022, exercising the right of Ukraine to choose its own destiny, the President of Ukraine submitted the application of Ukraine to become a member of the European Union. The Council has acted swiftly and invited the Commission to submit its opinion on this application in accordance with the relevant provisions of the Treaties. Pending this and without delay, we will further strengthen our bonds and deepen our partnership to support Ukraine in pursuing its European path. Ukraine belongs to our European family. President Putin gives the green light for up to 16,000 volunteers from the Middle East to join Russian- backed rebels fighting in eastern Ukraine. The UK Government announces asset freezes and travel bans on 386 members of the Russian Duma who voted to recognise the independence of two territories in Ukraine, Luhansk and Donetsk. The UN Security Council meets, at Russia’s request, to discuss Moscow’s claims that the US is funding “military biological activities ” in Ukraine. The UN’s High Representative of Disarmament Affairs tells the Security Council the UN is not aware of any such biological weapons programmes."
12 March 2022,"Russia’s Deputy Foreign Minister Sergey Ryabkov warns the West against sending arms to Ukraine , saying Moscow will consider arms shipments as “legitimate targets”. In a 75-minute phone call with President Putin, the French President and German Chancellor call for an immediate ceasefire. A French official says the Russian president showed no willingness to end the war. NATO Secretary-General Jens Stoltenberg warns Russia may use chemical weapons follow ing its invasion of Ukraine and that such a move would be a war crime: In recent days, we have heard absurd claims about chemical and biological weapons laboratories. Now that these false claims have been made, we must remain vigilant because it is possible that Russia itself could plan chemical weapons operations under this fabrication of lies. That would be a war crime."
13 March 2022,"In an interview on CBS’s Face the Nation, US National Security Adviser Jake Sullivan warns Russia will pay a “severe price” if it uses chemical weapons in Ukraine. He says: “The use of weapons of mass destruction would be a shocking additional line that Putin is crossing in terms of his assault on international law and international norms.”"
14 March 2022,"Further talks between Russia and Ukraine take place. President Zelenskyy says: “Our goal is that in this struggle, in this difficult negotiating work, Ukraine will get the necessary result… for peace and for security.”"
15 March 2022,"The leaders of Poland, the Czech Republic and Slovenia travel to Kyiv o n an EU mission to show support for Ukraine. They are the first Western visitors to the city since Russia’s military operations began three weeks earlier. The Kremlin announces it has put the US President, Secretary of State and other top officials on a “ stop list” that bars them from entering Russia. The ban comes in response to sanctions imposed by Washington on Russian officials. The number of Ukrainians fleeing abroad passes three million, data from the UN Refugee Agency shows."
16 March 2022,"A peace deal under which Ukraine abandons its NATO aspirations i n return for Russian withdrawal and Western security guarantees moves closer. Russia’s Foreign Minister, Sergey Lavrov, says: “Neutral status is now being seriously discussed seriously along, of course, with security guarantees. This is what is now being discussed at the talks. There are absolutely specific wordings and, in my view, the sides are close to agreeing on them.” Ukrainian President Volodymyr Zelenskyy addresses the US Congress, remotely from Kyiv. Zelenskyy calls on President Biden to be a leader for peace and repeats his calls for a no-fly zone to be imposed over Ukraine. The UN’s International Court of Justice (ICJ) in The Hague orders Russia to stop its invasion , saying it has not seen any evidence to support the Kremlin’s justification for the war: that Ukraine was committing genocide against Russian-speakers in the east of the country. The court rules by 13 votes to two for a provisional order that “the Russian Federation shall immediately suspend military operations that it commenced on 24 February 2022 in the territory of Ukraine”. Only the Russian and Chinese judges on the court vote against the order."
17 March 2022,"In an address to Ukrainian citizens, President Zelenskyy cautions Russian troops by drawing a comparison to hostilities back in 2014: The occupants thought they were going to Ukraine which they had seen before, in 2014-2015, which they corrupted and were not afraid of. But we are different now. And it allows us to defend ourselves against a full- scale attack for 22 days."
18 March 2022,"Russia Today has its licence to broadcast in the UK revoked w ith immediate effect, after watchdog Ofcom says it does not consider the channel ""fit and proper"" or a ""responsible broadcaster"". Russia establishes a no-fly zone over Ukraine’s Donbas region, according to a separatist official from the self-proclaimed Donetsk republic. The UN’s human rights office (OHCHR) reports at least 816 civilians have been killed and 1,333 wounded in Ukraine a s a result of Russia’s military operations. The real death toll is likely to be higher as the OHCHR, which has a large monitoring team in Ukraine, has not yet been able to verify casualty reports from badly hit cities such as Mariupol. Speaking to a large crowd at Moscow’s Luzhniki stadium to mark the eighth anniversary of Crimea’s annexation, President Putin praises Russian “unity” . In a phone call with China’s President Xi Jinping, US President Joe Biden lays out the consequences for China i f it supports Russia against Ukraine. In a statement, the White House says the phone call between the Chinese and American leaders, which lasted nearly two hours, focused on Russia’s invasion of Ukraine: President Biden outlined the views of the United States and our Allies and partners on this crisis. President Biden detailed our efforts to prevent and then respond to the invasion, including by imposing costs on Russia. He described the implications and consequences if China provides material support to Russia as it conducts brutal attacks against Ukrainian cities and civilians."
19 March 2022,"Russia says it has used its newest Kinzhal hypersonic missiles f or the first time in Ukraine, to destroy a weapons storage site in the country’s west. UK Prime Minister Boris Johnson warns of a “new age of intimidation” stretching from the Baltic to the Black Sea looms if Russia succeeds in its operations against Ukraine: The end of freedom in Ukraine will mean the extinction of any hope of freedom in Georgia and then Moldova. It will mean the beginning of a new age of intimidation across the whole of Eastern Europe from the Baltic to the Black Sea."
20 March 2022,"Filippo Grandi, the UN High Commissioner for Refugees, reveals ten million people – more than a quarter of Ukraine’s population – have now fled their homes: Among the responsibilities of those who wage war, everywhere in the world, is the suffering inflicted on civilians who are forced to flee their homes. The war in Ukraine is so devastating that 10 million have fled either displaced inside the country, or as refugees abroad."
21 March 2022,"Komsomolskaya Pravda, a pro-Kremlin tabloid, says almost 10,000 Russian soldiers have been killed in Ukraine: “According to Russian defence ministry data 9,861 Russian soldiers had been killed in action and another 16,153 had been wounded.” In a news briefing the US Department of Defence accuses Russian forces of committing war crimes in Ukraine and says it will help gather evidence of them, accusing the Kremlin of carrying out indiscriminate attacks as part of an intentional strategy in the conflict."
22 March 2022,"UN Secretary-General António Guterres delivers a stark message to Russia: “This war is unwinnable.” He urges an immediate ceasefire and a diplomatic solution to the crisis. A senior US defence official says Russia’s combat power in Ukraine has declined below 90% of its pre- invasion levels f or the first time since its attack began, suggesting heavy losses of weaponry and growing casualties."
23 March 2022,"Russia warns NATO of dire consequences if it were to agree to send some peacekeeping forces into Ukraine. Kremlin spokesperson Dmitry Peskov tells reporters: “It would be a very reckless and extremely dangerous decision. A special military operation is going on, and any possible contact by our troops with NATO troops can lead to quite clear consequences that would be hard to repair.” NATO estimates that between 7,000 and 15,000 Russian soldiers have been killed s ince it commenced military operations against Ukraine a month earlier. By way of comparison, Russia lost about 15,000 troops over 10 years in Afghanistan. US Secretary of State Antony Blinken formally announces the US Government believes Russia has committed war crimes in Ukraine and should be prosecuted. In a statement, Blinken repeatedly raises the brutality in the Ukrainian city of Mariupol and compares it to similar Russian campaigns against Grozny in the Second Chechen War and Aleppo during the Syrian civil war. The UK Government announces it will double the number of missiles it sends to Ukraine a nd urges western allies to step up provisions of lethal aid to the country."
24 March 2022,"President Zelenskyy addresses the Swedish Riksdag, telling parliamentarians Ukraine deserves to be a full member of the European Union: “We are fighting not only for Ukraine, but also for the security of the European Union! And we have proved that we deserve to be a full member of the European Union. The decision is already being elaborated. It's time to adopt it!” President Zelenskyy also addresses the NATO summit in a pre-recorded video address, appealing to leaders to increase military support for his country against Russian forces. Zelenskyy warns Russia wants to expand further and would next target Alliance members in eastern Europe, including Poland and the Baltic states. At the end of the NATO summit, the leaders of the Member States publish a joint statement condemning Russia’s actions against Ukraine and calling on China to “abstain from supporting Russia’s war effort in any way” and to “cease amplifying the Kremlin’s false narratives”. In The Hague, the chief prosecutor of the International Criminal Court (ICC) asks a coalition of countries to back his war crimes investigation in Ukraine, saying “things can get worse” if the international community fails to act now. Russia and Ukraine exchange prisoners in the first swap of soldiers since Moscow ordered troops into Ukraine one month earlier. Referring to Russian and Ukrainian troops, Ukraine’s Deputy Prime Minister, Iryna Vereshchuk, says: “In exchange for 10 captured occupiers, we rescued 10 of our servicemen."
25 March 2022,"The US National Security Advisor, Jake Sullivan, reveals the US and NATO are doing contingency planning f or any possible Russian attack on NATO territory. Russia’s defence ministry says the first phase of its military operation in Ukraine is generally complete and that Russia will now focus on the “liberation” of Ukraine’s eastern Donbas region."
26 March 2022,"Russia again raises the spectre of the use of nuclear weapons in its military campaign in Ukraine. Dmitry Medvedev, a former Russian president who is deputy chairman of the country’s security council, says Moscow could strike against an enemy that only used conventional weapons while Vladimir Putin’s defence minister claims nuclear “readiness” is a priority."
27 March 2022,"Secretary of State Antony Blinken tells reporters the US has no plans for regime change in Russia . His comments come a day after President Biden said President Putin “cannot remain in power”. The Kremlin later says Biden’s comments are a cause for concern and “ alarming”. Speaking to Russian journalists in a 90-minute video call, President Zelenskyy says Ukraine is prepared to discuss adopting a neutral status as part of a peace deal with Russia, but that it would have to be guaranteed by third parties and put to a referendum."
28 March 2022,"Ukraine’s economy minister, Yulia Svyrydenko, says Ukraine has suffered $564.9bn (£429.3bn) of damage to infrastructure, lost economic growth and other factors since Russia began its military action. Russia announces it is preparing to restrict entry for citizens of “unfriendly” countries, which would include the US, the UK, and all EU countries. In televised remarks Russian Foreign Minister Sergei Lavrov says: “A draft presidential decree is being developed on retaliatory visa measures in response to the unfriendly actions of a number of foreign states.” UK Foreign Secretary Liz Truss accuses President Putin’s forces of abducting innocent civilians, describing the move as an “abhorrent tactic”. She adds: “Putin must fail in Ukraine.”"
29 March 2022,"Russia’s Defence Minister Sergei Shoigu says Moscow’s “main goal” in Ukraine is now the “liberation” of the Donbas region. He says: “On the whole, the main targets of the first stage of this operation have been reached. The combat potential of the Ukrainian Armed Forces has been significantly depleted, which allows us to concentrate attention and our main efforts on the achievement of the primary objective, i.e. the liberation of Donbas”. A senior UN official says they have seen videos purporting to show the abuse of prisoners of war on both sides in Ukraine. Matilda Bogner, head of the UN’s human rights office in Ukraine, says a number of videos of the abuse are being examined, adding: “On the face of it, it does raise serious concerns”."
30 March 2022,"The UN’s refugee agency says the number of people fleeing Ukraine si nce Russia’s military offensive began on 24 February passes four million. A further six-and-a-half million people are internally displaced within the country. Russian Foreign Minister Sergey Lavrov hails China as part of a new world order, ahead of a meeting with his Chinese counterpart, Wang Yi. In his first visit to China since Russia began military operations against Ukraine five weeks earlier, Lavrov says the world is “living through a very serious stage in the history of international relations”."
31 March 2022,"Commenting on Russian announcements about a scaling down of military operations around Kyiv, NATO Secretary-General Jens Stoltenberg tells reporters Russian forces in Ukraine are regrouping and not withdrawing: “According to our intelligence, Russian units are not withdrawing but repositioning. Russia is trying to regroup, resupply and reinforce its offensive in the Donbas region.” In response to EU sanctions against Russia, the Russian Government announces many senior EU figures are barred from entering Russia. EU officials, lawmakers, public figures and journalists are among those sanctioned."
1 April 2022,"European Union leaders call on China to help end the war in Ukraine, after having what are described as “frank” exchanges with their Chinese counterparts. The US Department of Defense announces it will provide an additional $300 million in security assistance to Ukraine, includi ng laser-guided rocket systems, drones, and commercial satellite imagery services."
3 April 2022,"Europe pledges further sanctions against Russia after reports scores of unarmed Ukrainians have been killed in Bucha. P resident Zelenskyy says the Kremlin-ordered attack on his country amounts to genocide. In a video address to the nation in the evening, Zelenskyy blames former German Chancellor Angela Merkel and ex-French President Nicolas Sarkozy for fourteen years of failed diplomacy vis a vis Russia , saying their approach emboldened Moscow to be more aggressive."
4 April 2022,"US President Joe Biden calls for Vladimir Putin to be tried for war crimes, telling reporters at the Fort McNair army base in Washington: “You may remember I got criticised for calling Putin a war criminal. Well, the truth of the matter – we saw it happen in Bucha – he is a war criminal.”"
5 April 2022,"The UK and US announce plans to seek Russia’s suspension from the UN human rights council, following allegations that Russian troops systematically executed civilians in Bucha. President Zelenskyy addresses the UN Security Council m eeting in New York via video, the first time he has addressed the Council since Russia invaded his country on 24 February."
6 April 2022,"The US, UK and EU unveil new sanctions against Moscow. US sanctions target Russian banks and elites, an d include a ban on any American from investing in Russia as well as sanctions on Putin’s adult daughters. The UK will impose an asset freeze on Russia’s largest bank, place sanctions on eight more oligarchs and end imports of oil and coal by next year. T he EU announce s a wide-ranging package of sanctions, including import bans on coal and transaction bans on banks. President Zelenskyy says the new package of international sanctions against Russia is “not enough” a nd without more painful measures and supplies of weapons, Russia will view the actions as permission to launch a new attack."
7 April 2022,"NATO foreign ministers meet in Brussels to address Russian President Putin’s “brutal and unprovoked invasion of Ukraine”. Following the meeting, G7 foreign ministers issue a joint statement t o condemn “in the strongest terms” the atrocities committed by Russian troops in Bucha and a number of other Ukrainian towns. The UN General Assembly votes to suspend Russia’s membership in the UN Human Rights Council. The resolution receives a two-thirds majority, minus abstentions, with 93 nations voting in favour and 24 against. 58 nations abstained."
8 April 2022,"Prime Minister Boris Johnson visits President Zelenskyy in Kyiv to discuss further military and economic assistance. This includes new military assistance of 120 armoured vehicles and new anti- ship missile systems, with further economic support in the form of an additional $500m (£385m) in World Bank lending to Ukraine, taking the UK’s total loan guarantee to up to $1 billion. European Commission’s President Ursula von der Leyen pledges to offer Ukraine’s President Zelenskyy a speedier start to his country’s bid to become a member of the EU. At a joint press conference with Zelenskyy, von der Leyen says: “It will not as usual be a matter of years to form this opinion but I think a matter of weeks.”"
9 April 2022,"Olga Stefanishyna, Ukraine’s Deputy Prime Minister for European and Euro-Atlantic integration, says her country is “ready to move fast” with its application to become a member of the European Union."
11 April 2022,"Speaking in an interview with Russian state television, Russia’s Foreign Minister Sergei Lavrov says Moscow will not pause its military operation in Ukraine before the next round of peace talks. Austrian chancellor, Karl Nehammer, holds “direct, open and hard” talks w ith President Putin in Moscow."
13 April 2022,"The Foreign Secretary announces new sanctions to be imposed on 178 Russian separatists in breakaway regions of Ukraine. US President Joe Biden announces an additional $800m in military assistance to Ukraine, in cluding heavy artillery ahead of a wider Russian assault expected in eastern Ukraine."
14 April 2022,"Dmitry Medvedev, deputy chairman of Russia's Security Council, says that should Sweden and Finland join NATO then Russia will have to strengthen its land, naval and air forces in the Baltic Sea. Ireland’s Foreign Minister Simon Coveney meets Ukrainian officials in Kyiv a nd states: “Even though Ireland is a militarily neutral country, let me be clear, we are not neutral on this war. We are also not neutral on the future of your country.”"
16 April 2022,"Russia’s foreign ministry bans Boris Johnson, Liz Truss, Ben Wallace and 10 other British government members f rom entering the country. The ministry says the move was taken “in view of the unprecedented hostile action by the UK government."
18 April 2022,"President Zelenskyy says Ukraine hopes to receive candidate country status to join the EU within weeks. During a meeting in Kyiv with the EU’s envoy to Ukraine, Matti Maasikas, Zelenskyy says: “We strongly believe that this procedure (granting of candidate status) will take place in the coming weeks and that it will be positive for the history of our people, given the price they paid on the path to independence and democracy.” A senior US defence department official reveals there are now 76 Russian battalion tactical groups in the Donbas region of Ukraine a nd in the country’s southeast, with 11 of those added over the last several days."
19 April 2022,"In remarks at a UN Security Council briefing on Ukraine, China criticises Western actions, saying the provision of offensive weapons to Kyiv “will only prolong and escalate the conflict” and that some sanctions are “tantamount to weaponising economic interdependence”"
20 April 2022,"Figures by the UN’s refugee agency (UNHCR) show the number of Ukrainians who have fled abroad since Russia invaded on 24 February is now 5,010,971. Finance ministers from the UK, US, Canada and France walk out of a G20 meeting a s the Russian delegate speaks. The UK’s Chancellor of the Exchequer, Rishi Sunak, says the walkout was a coordinated protest, tweeting: “Earlier my representatives, along with US & Canadian counterparts left today’s G20 meeting in Washington as Russian delegates spoke. We are united in our condemnation of Russia’s war against Ukraine and will push for stronger international coordination to punish Russia.”"
21 April 2022,"The parliaments of both Estonia and Latvia recognise Russia’s actions in Ukraine as “genocide”. In its statement the Latvian parliament cites “evidence of mass brutal crimes committed by the army of the Russian Federation, including the murder, torture, sexual abuse and desecration of Ukrainian civilians, including women and children, in Bucha, Irpin, Mariupol and elsewhere.” Estonia's parliament, meanwhile, cites “murders, enforced disappearances, deportations, imprisonment, torture, rape, and desecration of corpses.”"
22 April 2022,"Following its temporary closure, the UK government announces the British Embassy in Kyiv will reopen in the following week. UK Prime Minister Boris Johnson reveals dozens of Ukrainian soldiers are training in the UK, learning how to use 120 British armoured vehicles before returning with them to fight in the war against Russia."
23 April 2022,"In a telephone call, the Prime Minister and President Zelenskyy agree o n the importance of establishing a ceasefire and humanitarian corridor to allow civilians to leave Mariupol, and discuss the development of a long-term security solution for Ukraine."
25 April 2022,"Sweden and Finland agree to submit applications to join NATO at the same time. B oth countries will announce their applications in the week commencing 16 May, during Finnish president Sauli Niinistö’s visit to Stockholm."
